,Nets,Labels,Average Distance,Representative
109,Road_Traffic_Fine_Management_Process.71d6468b-fdc8-40b9-9044-77b74239ddc5.pnml,0,0.7436229248811422,False
110,Road_Traffic_Fine_Management_Process.ea6b4990-0fca-4835-a076-0b93a8689f01.pnml,0,0.7051998379938774,False
111,Road_Traffic_Fine_Management_Process.b29bd212-0f76-4e27-97b2-52bc18726e45.pnml,0,0.7183131841390834,False
112,Road_Traffic_Fine_Management_Process.9daa1338-779e-4927-b17d-a807c8aa5d8d.pnml,0,0.7850415779908999,False
113,Road_Traffic_Fine_Management_Process.0146e2b5-999c-4005-85bb-95b09d6d416e.pnml,0,0.765945103296275,False
114,Road_Traffic_Fine_Management_Process.60c83832-f49f-4940-b854-75d7c2176f26.pnml,0,0.770148469487588,False
115,Road_Traffic_Fine_Management_Process.3243c5c7-761c-4f09-9331-061f841d3eb0.pnml,0,0.7478018889528628,False
116,Road_Traffic_Fine_Management_Process.f6ba67b0-357c-4fc2-8657-9a57b66e9ba6.pnml,0,0.7416399467813852,False
117,Road_Traffic_Fine_Management_Process.507dc306-1a4e-4e24-948d-0f7e7fbd216c.pnml,0,0.7405186349339801,False
118,Road_Traffic_Fine_Management_Process.da529519-8b88-4d7c-bb6e-d16cddc8bf7f.pnml,0,0.6906115446087584,False
119,Road_Traffic_Fine_Management_Process.55e4ba1b-23a0-4ab1-a286-7974ed5480bd.pnml,0,0.7397109809171815,False
120,Road_Traffic_Fine_Management_Process.f752191f-d9ff-4303-b68e-e86f9e0f96a5.pnml,0,0.692249520652535,False
121,Road_Traffic_Fine_Management_Process.03a62933-baad-42dd-af22-435016c0b878.pnml,0,0.6610274082344406,False
122,Road_Traffic_Fine_Management_Process.27cca581-f903-42fa-b594-4f557b5c6576.pnml,0,0.7047532943335649,False
123,Road_Traffic_Fine_Management_Process.f50da888-d72d-440a-9375-2b76b96cf11a.pnml,0,0.6786725579359489,False
124,Road_Traffic_Fine_Management_Process.624170ca-b3ca-4aef-b9de-31ab0d1fdfa6.pnml,0,0.7395362128141435,False
125,Road_Traffic_Fine_Management_Process.b689d8e5-80a3-42b6-9644-951c2a133274.pnml,0,0.8164763649863606,False
126,Road_Traffic_Fine_Management_Process.8641fec5-74cf-414a-82f5-4ba75c82aa94.pnml,0,0.7056269142659669,False
127,Road_Traffic_Fine_Management_Process.c6619027-2e9b-4396-995c-b949d27f761a.pnml,0,0.7051998379938774,False
128,Road_Traffic_Fine_Management_Process.24afdb2e-0550-4557-9611-8c16224c1d1e.pnml,0,0.767479941670485,False
129,Road_Traffic_Fine_Management_Process.0116c3ef-9694-4ee6-a646-ba3cb73fa5be.pnml,0,0.8017400939335004,False
130,Road_Traffic_Fine_Management_Process.77314301-4023-4db7-8b2c-2692fb7703ce.pnml,0,0.7512126303241347,False
131,Road_Traffic_Fine_Management_Process.2c7bdd86-5612-4512-9ef3-503773d28b4e.pnml,0,0.7179995583165023,False
132,Road_Traffic_Fine_Management_Process.8a861dc4-95ce-4986-bb92-9937b1a90df9.pnml,0,0.7728764266425721,False
133,Road_Traffic_Fine_Management_Process.a0cd7586-408b-4c73-bf1d-3edd26ba144b.pnml,0,0.7666408351354231,False
134,Road_Traffic_Fine_Management_Process.961a33a1-5328-48f5-bf1b-d3cf2b65390c.pnml,0,0.7267100435268957,False
135,Road_Traffic_Fine_Management_Process.0eff26ee-d911-4e49-a5d5-08a626b34dba.pnml,0,0.6896271246599499,False
136,Road_Traffic_Fine_Management_Process.eec699eb-c8cb-4ecc-a02c-2336496ee128.pnml,0,0.8127569509331929,False
137,Road_Traffic_Fine_Management_Process.ea994423-05c3-4b90-bc18-280af7eace5a.pnml,0,0.742729772162936,False
138,Road_Traffic_Fine_Management_Process.72348f30-d936-4ddf-a280-8b86ec21e4ff.pnml,0,0.7276468806795297,False
139,Road_Traffic_Fine_Management_Process.5e05ebe9-b69c-40f7-9b06-5a0230075613.pnml,0,0.7575384561419716,False
140,Road_Traffic_Fine_Management_Process.bbec69e4-3e5e-4277-86dc-00b7709b7b3f.pnml,0,0.6626302922224647,False
141,Road_Traffic_Fine_Management_Process.600d1feb-32a1-4237-abb2-c3a26c50375c.pnml,0,0.8187632859927814,False
142,Road_Traffic_Fine_Management_Process.f72c4f86-5708-4aea-8930-86c1d0476288.pnml,0,0.7431021069162577,False
143,Road_Traffic_Fine_Management_Process.66fd32c8-3e02-44ca-94fc-caef702bed00.pnml,0,0.7719314617155203,False
144,Road_Traffic_Fine_Management_Process.37acbbdc-0a9e-47f6-83a0-c954cf812b48.pnml,0,0.796438702361398,False
145,Road_Traffic_Fine_Management_Process.1f4e62e8-95c6-40fd-b9fc-2a9d822e6fdf.pnml,0,0.7825133884889963,False
146,Road_Traffic_Fine_Management_Process.f7f2e60c-c9b1-4569-9529-4bca5824fe6d.pnml,0,0.7747107760761808,False
147,Road_Traffic_Fine_Management_Process.50af3cca-d554-4d5b-b065-b9abf720a438.pnml,0,0.7016853086273349,False
148,Road_Traffic_Fine_Management_Process.4f034344-2674-40d5-8110-347dadced9f2.pnml,0,0.6614761528357838,False
149,Road_Traffic_Fine_Management_Process.9ef40a6d-f2ec-4859-ae7d-1cdfc8c7c1f0.pnml,0,0.8335780311346582,False
150,Road_Traffic_Fine_Management_Process.73d6ed11-4556-4dcb-b9f5-044d587056bc.pnml,0,0.7772054871314917,False
151,Road_Traffic_Fine_Management_Process.137a8147-c17a-4c0d-97db-834ce44d1014.pnml,0,0.716378102437557,False
152,Road_Traffic_Fine_Management_Process.85274d4d-cf34-4745-8244-2a188da10de2.pnml,0,0.7708755682838302,False
153,Road_Traffic_Fine_Management_Process.1da3a9e1-9c29-4216-acc7-43d0395dcfbc.pnml,0,0.6876534112593612,False
154,Road_Traffic_Fine_Management_Process.5468ad32-7538-4da0-b4c1-1aa1eb860be5.pnml,0,0.7231415631325465,False
155,Road_Traffic_Fine_Management_Process.52290b79-1034-4e2c-859c-b7cf80da9a32.pnml,0,0.7436047419569746,False
156,Road_Traffic_Fine_Management_Process.2b8e3e54-8449-4a5b-8aeb-1cbc06e09348.pnml,0,0.7405186349339801,False
157,Road_Traffic_Fine_Management_Process.df442026-2165-4be1-bc52-769fb09fac06.pnml,0,0.7757351424880805,False
158,Road_Traffic_Fine_Management_Process.08b6bade-4bb7-46c1-bb78-94ffc38c6ee7.pnml,0,0.6799260267531725,False
159,Road_Traffic_Fine_Management_Process.93cf6d03-9ecb-4839-ae87-bc8497d9d045.pnml,0,0.7130552813486084,False
160,Road_Traffic_Fine_Management_Process.74bc2807-22c7-4e43-b878-be26c42cb62a.pnml,0,0.7266741792986747,False
161,Road_Traffic_Fine_Management_Process.4cc8d37e-bfd7-4413-bbe9-39d438372b02.pnml,0,0.7717061678313588,False
162,Road_Traffic_Fine_Management_Process.e8998a55-4f0e-4c06-a4eb-4c98c9600d4a.pnml,0,0.777124869322257,False
163,Road_Traffic_Fine_Management_Process.bc92727a-9217-41b2-8e31-c860b014c6ee.pnml,0,0.7395362128141435,False
164,Road_Traffic_Fine_Management_Process.438c1138-eae1-45bb-8ded-882e4c734329.pnml,0,0.7861089100401669,False
165,Road_Traffic_Fine_Management_Process.3342a3f6-0cbb-4a0a-95a2-afd7299e4936.pnml,0,0.7244735573852268,False
166,Road_Traffic_Fine_Management_Process.3e439e97-d9fc-410e-8b44-9e836c47f13b.pnml,0,0.6882994316527564,False
167,Road_Traffic_Fine_Management_Process.6c1fd7eb-76f3-4501-8e24-cadb656f0924.pnml,0,0.7922468317570975,False
168,Road_Traffic_Fine_Management_Process.a6ecdacf-35bd-4bc5-87ea-2ed791a73964.pnml,0,0.717286370567067,False
169,Road_Traffic_Fine_Management_Process.9ba6d128-6478-41e3-9ae6-625dc48a5430.pnml,0,0.7619997133715367,False
170,Road_Traffic_Fine_Management_Process.d6cbaf74-bae7-4465-b2df-fe6884bdf76a.pnml,0,0.7623729520570403,False
171,Road_Traffic_Fine_Management_Process.fb530458-ced9-4f55-ab5c-7b3d9436772e.pnml,0,0.7274235596500764,False
172,Road_Traffic_Fine_Management_Process.272cd7bd-a9c6-4757-8278-9cba4ea64a81.pnml,0,0.6754051265451431,False
173,Road_Traffic_Fine_Management_Process.9d59cb17-5e61-4a8c-83f0-690b5e204788.pnml,0,0.838459398258916,False
174,Road_Traffic_Fine_Management_Process.d1568bfb-3175-482d-b56a-b9721bd56d3e.pnml,0,0.7807874112301131,False
175,Road_Traffic_Fine_Management_Process.8b369424-c751-4848-bafc-6e38a9861bf2.pnml,0,0.7474698990989838,False
176,Road_Traffic_Fine_Management_Process.ff7c4abb-442a-4f18-9ffa-ba63c7720067.pnml,0,0.7177388361852427,False
177,Road_Traffic_Fine_Management_Process.a7a0914d-d3d7-432f-8315-6e32495ea03e.pnml,0,0.7266686880182189,False
178,Road_Traffic_Fine_Management_Process.a509cba6-0be6-4df1-a24b-3e4a98247f36.pnml,0,0.7755623490233516,False
179,Road_Traffic_Fine_Management_Process.7efe6883-49c0-425b-8242-1bc7e9c849da.pnml,0,0.7019791128217858,False
180,Road_Traffic_Fine_Management_Process.70670846-ac38-456b-a490-47dfddd914d9.pnml,0,0.7300927852634691,False
181,Road_Traffic_Fine_Management_Process.d7b90d0c-4e8c-4fac-8e52-ae19e05cc8b3.pnml,0,0.7696844818307257,False
182,Road_Traffic_Fine_Management_Process.aba0f298-fbcf-49fd-bd4b-143c0eb900a5.pnml,0,0.7191445624265643,False
183,Road_Traffic_Fine_Management_Process.1b926934-ec49-4d55-915b-e719294a2d98.pnml,0,0.7729599815084378,False
184,Road_Traffic_Fine_Management_Process.27fc2042-550f-439e-b65d-c323069d9d5c.pnml,14,1.0,True
185,Road_Traffic_Fine_Management_Process.8906ebd1-c4e7-44d9-a6ff-5442f815d6df.pnml,0,0.7831386036799185,False
186,Road_Traffic_Fine_Management_Process.618e1c88-b317-46f3-b25a-8be879b14b72.pnml,0,0.8213577603613182,False
187,Road_Traffic_Fine_Management_Process.2790f589-58ab-4d88-986e-2a7d3bf933d7.pnml,0,0.7717061678313588,False
188,Road_Traffic_Fine_Management_Process.61e0c1bf-1b07-484c-bb98-cbe99f4d08b1.pnml,0,0.6982012437450557,False
189,Road_Traffic_Fine_Management_Process.0e2a4096-1062-4747-a96c-b94b1298a93e.pnml,0,0.7750199749219877,False
190,Road_Traffic_Fine_Management_Process.64f17e8c-0e31-40ea-981c-3a67413f9247.pnml,0,0.7051998379938774,False
191,Road_Traffic_Fine_Management_Process.a877cdc0-2d1d-4601-84e9-01ab44d792c3.pnml,0,0.7372357388343878,False
192,Road_Traffic_Fine_Management_Process.1811e0e1-d3fd-4a30-8799-e10bb31f3679.pnml,0,0.7488506774729704,False
193,Road_Traffic_Fine_Management_Process.caf68887-dc50-4574-a7cc-5d85d8a09d39.pnml,0,0.7428165771882798,False
194,Road_Traffic_Fine_Management_Process.f0b937fc-4117-429a-905a-6a0acc9730e1.pnml,0,0.6983245856414282,False
195,Road_Traffic_Fine_Management_Process.e0746ce1-e8d8-4bde-a223-0b0a1ab9c29e.pnml,0,0.6726676768651608,False
196,Road_Traffic_Fine_Management_Process.159c110f-befa-4432-9804-5dd91bdcdae8.pnml,0,0.7834449203898204,False
197,Road_Traffic_Fine_Management_Process.03a0fd71-78a7-48af-9ca9-a9cc536367a4.pnml,0,0.7421705011160111,False
198,Road_Traffic_Fine_Management_Process.60654d63-6c2a-4c91-ad69-5970245e274f.pnml,0,0.728385405031722,False
199,Road_Traffic_Fine_Management_Process.d92ba473-cdaf-4749-9ea3-1790078ab38e.pnml,0,0.7750199749219877,False
200,Road_Traffic_Fine_Management_Process.5365e568-6f70-4c65-8d79-20e3d7828513.pnml,0,0.7497540712671311,False
201,Road_Traffic_Fine_Management_Process.011cf8f4-eaaa-4ceb-9a68-02b170b41190.pnml,0,0.789140560925638,False
202,Road_Traffic_Fine_Management_Process.fecb009d-e728-4502-87fc-bd6e3f15dc75.pnml,0,0.6846256416120793,False
