,Name,Fitting Windows Score_x,Trace Support Score_x,Aggregated Score_x,index,Fitting Windows Score_y,Trace Support Score_y,Aggregated Score_y
37,BPI_Challenge_2012_res10939.beda83e9-e34e-4f75-adad-36f7c9789c35.pnml,0.0594657762938226,0.7346938775510204,0.8787594173760823,270,0.0594657762938226,0.7346938775510204,0.8787594173760823
38,BPI_Challenge_2012_res10939.d58c4587-9c3e-4b67-a3fd-0750ec7d3e93.pnml,0.0745480562842825,0.7346938775510204,0.878319819997628,272,0.0745480562842825,0.7346938775510204,0.878319819997628
39,BPI_Challenge_2012_res10939.5d35fc67-0c5b-4f93-bf53-e6f27b3da63b.pnml,0.0744049606486994,0.7346938775510204,0.8779716575218061,273,0.0744049606486994,0.7346938775510204,0.8779716575218061
40,BPI_Challenge_2012_res10939.f4c890e4-edec-4d32-9a85-9d2bf431ee9c.pnml,0.0746577629382309,0.7755102040816326,0.8747717995612915,278,0.0746577629382309,0.7755102040816326,0.8747717995612915
41,BPI_Challenge_2012_res10939.40c0bb67-83b3-4b20-aa3b-763ad0733e3e.pnml,0.079287701725098,0.7346938775510204,0.8731850682245816,282,0.079287701725098,0.7346938775510204,0.8731850682245816
42,BPI_Challenge_2012_res10939.40a0a783-7d8d-4ad2-bb19-a3dac07b3477.pnml,0.0822004928849677,0.7551020408163265,0.8703400993754797,295,0.0822004928849677,0.7551020408163265,0.8703400993754797
43,BPI_Challenge_2012_res10939.accf6a5a-4aca-4efe-bbb8-cfc612763ce3.pnml,0.0739327450512761,0.7346938775510204,0.8696798642087386,296,0.0739327450512761,0.7346938775510204,0.8696798642087386
44,BPI_Challenge_2012_res10939.5580582d-e6f0-4987-a79e-2b411b810585.pnml,0.0616503696637248,0.7551020408163265,0.8682800235478784,370,0.0616503696637248,0.7551020408163265,0.8682800235478784
45,BPI_Challenge_2012_res10939.bebdade4-a237-4202-906c-43b0ad741aaa.pnml,0.0799109627156378,0.7346938775510204,0.8679547143585896,371,0.0799109627156378,0.7346938775510204,0.8679547143585896
46,BPI_Challenge_2012_res10939.6d02475d-caab-40a8-8dce-5ea98e0bfe72.pnml,0.059146196041021,0.7346938775510204,0.8665870325069422,374,0.059146196041021,0.7346938775510204,0.8665870325069422
47,BPI_Challenge_2012_res10939.c5cfddce-a101-4664-8718-550a70324769.pnml,0.0594657762938226,0.7346938775510204,0.8663807765993834,376,0.0594657762938226,0.7346938775510204,0.8663807765993834
48,BPI_Challenge_2012_res10939.f5a916ad-cd2a-4949-830b-5ca7f71b653c.pnml,0.0739327450512761,0.7346938775510204,0.8648254952766996,391,0.0739327450512761,0.7346938775510204,0.8648254952766996
49,BPI_Challenge_2012_res10939.0430ade4-3e2f-4506-bfa2-2da68b633bbd.pnml,0.0746577629382309,0.7755102040816326,0.8634166765352174,400,0.0746577629382309,0.7755102040816326,0.8634166765352174
50,BPI_Challenge_2012_res10939.eb4d26cf-801b-4049-892f-97de53a44fb9.pnml,0.0739327450512761,0.7346938775510204,0.8601560546849291,418,0.0739327450512761,0.7346938775510204,0.8601560546849291
51,BPI_Challenge_2012_res10939.54ab1d1c-2f5c-41f2-998d-7173d44ace8c.pnml,0.079287701725098,0.7346938775510204,0.8598517348912484,432,0.079287701725098,0.7346938775510204,0.8598517348912484
52,BPI_Challenge_2012_res10939.f560d02f-7706-4970-b52c-077e6f8b25fb.pnml,0.0739327450512761,0.7346938775510204,0.8580085743335651,437,0.0739327450512761,0.7346938775510204,0.8580085743335651
53,BPI_Challenge_2012_res10939.ded272a5-6c28-407c-b192-305e66b7b5b9.pnml,0.059146196041021,0.7346938775510204,0.8574047239848278,440,0.059146196041021,0.7346938775510204,0.8574047239848278
54,BPI_Challenge_2012_res10939.105c8a5f-e881-4813-9622-329bbe75e8f1.pnml,0.059146196041021,0.7346938775510204,0.8574047239848278,439,0.059146196041021,0.7346938775510204,0.8574047239848278
55,BPI_Challenge_2012_res10939.4f1a860a-8462-4792-bec8-f931688677a5.pnml,0.0822004928849677,0.7551020408163265,0.8558601517530089,444,0.0822004928849677,0.7551020408163265,0.8558601517530089
56,BPI_Challenge_2012_res10939.1bb179dd-e5f3-425d-a24e-297ab21f6b9c.pnml,0.0443596470307656,0.7346938775510204,0.854869143015039,450,0.0443596470307656,0.7346938775510204,0.854869143015039
57,BPI_Challenge_2012_res10939.584efd91-cf33-4d43-b13c-112fa14bd79b.pnml,0.0443596470307656,0.7346938775510204,0.854869143015039,455,0.0443596470307656,0.7346938775510204,0.854869143015039
58,BPI_Challenge_2012_res10939.38f07c61-4f4b-4069-9232-7dea2d8d4c42.pnml,0.0443596470307656,0.7346938775510204,0.854869143015039,453,0.0443596470307656,0.7346938775510204,0.854869143015039
59,BPI_Challenge_2012_res10939.df2960a0-83d8-4d30-b076-8f68580cc90f.pnml,0.0443596470307656,0.7346938775510204,0.8547073307173043,456,0.0443596470307656,0.7346938775510204,0.8547073307173043
60,BPI_Challenge_2012_res10939.2f710f49-8495-4ffb-8fa2-79869d0219e9.pnml,0.0443596470307656,0.7346938775510204,0.8547073307173043,457,0.0443596470307656,0.7346938775510204,0.8547073307173043
61,BPI_Challenge_2012_res10939.51ff94a6-f96a-493d-bb75-c6f4891c4761.pnml,0.0799109627156378,0.7346938775510204,0.8546213810252563,459,0.0799109627156378,0.7346938775510204,0.8546213810252563
62,BPI_Challenge_2012_res10939.6d921fce-c61a-4843-af67-1359954647db.pnml,0.0799109627156378,0.7346938775510204,0.8513681758970512,507,0.0799109627156378,0.7346938775510204,0.8513681758970512
63,BPI_Challenge_2012_res10939.6df8429e-9501-4c07-a566-9fb20c560a47.pnml,0.0799109627156378,0.7346938775510204,0.8513681758970512,502,0.0799109627156378,0.7346938775510204,0.8513681758970512
64,BPI_Challenge_2012_res10939.cf8be85f-d928-4b24-a31d-ca50fd011c8b.pnml,0.059146196041021,0.7346938775510204,0.8508459321833175,547,0.059146196041021,0.7346938775510204,0.8508459321833175
65,BPI_Challenge_2012_res10939.2078e0d7-681f-4d97-8dea-d9cef811a6b4.pnml,0.059146196041021,0.7346938775510204,0.8508459321833175,556,0.059146196041021,0.7346938775510204,0.8508459321833175
66,BPI_Challenge_2012_res10939.f8d21159-39e1-4940-a2cb-17ee9fe1ff85.pnml,0.059146196041021,0.7346938775510204,0.8508459321833175,524,0.059146196041021,0.7346938775510204,0.8508459321833175
67,BPI_Challenge_2012_res10939.7662f7a0-aea8-4d62-a326-9c9f8197f699.pnml,0.0739327450512761,0.7346938775510204,0.8475901739637084,600,0.0739327450512761,0.7346938775510204,0.8475901739637084
68,BPI_Challenge_2012_res10939.0b2f1bf0-4dc1-47fc-b66d-a07ab5dea585.pnml,0.0739756737419501,0.7346938775510204,0.8469271700943398,611,0.0739756737419501,0.7346938775510204,0.8469271700943398
69,BPI_Challenge_2012_res10939.58fcf38e-b2f7-48c9-9f90-ee74b641c4e3.pnml,0.0682327689005479,0.7346938775510204,0.8462028369686371,616,0.0682327689005479,0.7346938775510204,0.8462028369686371
70,BPI_Challenge_2012_res10939.0ac35bbd-122f-482f-957e-f105ea0dbdce.pnml,0.079287701725098,0.7346938775510204,0.8446136396531532,647,0.079287701725098,0.7346938775510204,0.8446136396531532
71,BPI_Challenge_2012_res10939.513c0093-47d3-4a7a-8a1e-33c2ca9b84e4.pnml,0.0594657762938226,0.7346938775510204,0.8416234950459852,681,0.0594657762938226,0.7346938775510204,0.8416234950459852
72,BPI_Challenge_2012_res10939.a5c814cc-745e-45b6-a457-98935462064e.pnml,0.0739327450512761,0.7346938775510204,0.8411084356373099,728,0.0739327450512761,0.7346938775510204,0.8411084356373099
73,BPI_Challenge_2012_res10939.0430608a-e736-40ed-8675-f5dcd920e81b.pnml,0.0460767946577629,0.7551020408163265,0.8388698257015891,784,0.0460767946577629,0.7551020408163265,0.8388698257015891
74,BPI_Challenge_2012_res10939.a5f99c19-fb83-4e74-b91d-29b87142e6bf.pnml,0.0739327450512761,0.7346938775510204,0.8296004991293735,974,0.0739327450512761,0.7346938775510204,0.8296004991293735
