Name,Fitting Windows Score,Trace Support Score,Aggregated Score
BPI_Challenge_2012.2792e49b-02b3-4958-9190-20c73d1c2fe5.pnml,8.385554373192388E-6,3.820585313670054E-4,0.6001433640362145
BPI_Challenge_2012.a169bda7-f582-4589-919f-927bc53322df.pnml,8.385554373192388E-6,3.820585313670054E-4,0.6001433640362145
BPI_Challenge_2012.3304a063-1c03-4fa7-b8b3-34737579e674.pnml,3.3542217492769552E-6,1.5282341254680218E-4,0.6000573456144858
BPI_Challenge_2012.420f65f1-c007-48db-a393-0975c4a9a589.pnml,3.3542217492769552E-6,1.5282341254680218E-4,0.6000573456144858
BPI_Challenge_2012.966a8360-77db-4cd8-bf1d-bf5cf7cb1f4c.pnml,3.3542217492769552E-6,1.5282341254680218E-4,0.6000573456144858
BPI_Challenge_2012.94b5033c-8ea2-4093-8061-8a128c05c252.pnml,1.6771108746384776E-6,7.641170627340109E-5,0.6000286728072429
BPI_Challenge_2012.420e6f2f-c72a-45ed-847b-2fae6303034e.pnml,4.863621536451584E-5,0.0019102926568350272,0.5947097759844192
BPI_Challenge_2012.3b50dd9f-e80d-4031-8242-42e7ea704a81.pnml,9.894954160367028E-5,0.0033621150760296476,0.5913273253733756
BPI_Challenge_2012.7c928206-afc8-425a-9694-4facad47a1ad.pnml,3.3542217492769552E-6,7.641170627340109E-5,0.5833753966065645
BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,3.3542217492769552E-6,7.641170627340109E-5,0.5833753966065645
BPI_Challenge_2012.98d91d50-ff6d-4854-a6d6-332f1f05555d.pnml,3.3542217492769552E-6,7.641170627340109E-5,0.5833753966065645
BPI_Challenge_2012.a8e2053f-f7f0-41b0-840b-8fb83e1a2a70.pnml,3.3542217492769552E-6,7.641170627340109E-5,0.5833753966065645
BPI_Challenge_2012.430b2104-4320-44fd-9192-247d89797f8f.pnml,3.3542217492769552E-6,7.641170627340109E-5,0.5833753966065645
BPI_Challenge_2012.fc3d48a0-17da-4b37-93f1-59329737450e.pnml,3.3542217492769552E-6,7.641170627340109E-5,0.5833753966065645
BPI_Challenge_2012.3776bb87-0ceb-44cc-b8aa-1ea5a48ad231.pnml,3.3542217492769552E-6,7.641170627340109E-5,0.5833753966065645
BPI_Challenge_2012.5fbd385b-aa68-4e9b-bd1a-eea17edc30f7.pnml,3.3542217492769552E-6,7.641170627340109E-5,0.5833753966065645
BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,0.001963896834201639,0.04752808130205548,0.5808159453885733
BPI_Challenge_2012.dcaae451-0d80-45e1-a21f-580a09d87397.pnml,0.001101861844637477,0.015893634904867424,0.5805041819169582
BPI_Challenge_2012.5172eb7f-11cb-4f53-9de6-ba496d6ea5bc.pnml,0.001101861844637477,0.015893634904867424,0.5805041819169582
BPI_Challenge_2012.f75500b7-06db-4fb0-8cce-afb9189d5402.pnml,2.9349440306173357E-5,0.0010697638878276153,0.5804482859323594
BPI_Challenge_2012.c9f44678-e401-4446-8ca8-6143ed0b57e8.pnml,2.7253051712875262E-5,9.93352181554214E-4,0.5804162655086194
BPI_Challenge_2012.9ed36524-63c3-4756-a096-fd28dd360e30.pnml,4.192777186596194E-6,1.5282341254680218E-4,0.5800640408474799
BPI_Challenge_2012.f31e8d0a-4a24-405e-b7ab-b9a6353a15c2.pnml,2.64983518192879E-4,0.007106288683426301,0.5782244513628236
BPI_Challenge_2012.0064a212-a5ed-4a12-947a-b4ee3d1b4564.pnml,1.6771108746384763E-4,0.005348819439138076,0.5774088104866493
BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,6.876154586017763E-5,0.0022159394819286317,0.5759921970019026
BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,6.876154586017763E-5,0.0022159394819286317,0.5759921970019026
BPI_Challenge_2012.5a14d014-04fe-479a-a0dc-e277c7ffd98c.pnml,8.720976548120093E-5,0.0032092916634828455,0.5758664644508764
BPI_Challenge_2012.f58b8813-8f72-48b2-a3b5-fb768238d7b4.pnml,4.528199361523888E-5,0.002063116069381829,0.5757741657955583
BPI_Challenge_2012.2bb9c72f-fc09-4417-9417-54dab403be22.pnml,3.354221749276955E-5,7.641170627340108E-4,0.575420632732311
BPI_Challenge_2012.98b2528d-c5ae-456e-8fbe-2f880487c632.pnml,2.3479552244938682E-5,0.0010697638878276153,0.5754014193014007
BPI_Challenge_2012.9c259212-6496-4770-9fd6-15d75a764d96.pnml,2.1802441370300204E-5,9.93352181554214E-4,0.5753727464941576
BPI_Challenge_2012.fba096f9-bb46-4110-bf70-92d2150b2835.pnml,1.0062665247830865E-5,4.5847023764040653E-4,0.5751720368434574
BPI_Challenge_2012.11fbb10c-0881-415e-8674-8907bc2de899.pnml,1.0062665247830865E-5,4.5847023764040653E-4,0.5751720368434574
BPI_Challenge_2012.5851cec6-79d9-48ee-bb59-83a1f180a338.pnml,1.0062665247830865E-5,4.5847023764040653E-4,0.5751720368434574
BPI_Challenge_2012.1fba2b4d-0560-4d2c-a1c6-0eba6a4f177c.pnml,1.0062665247830865E-5,4.5847023764040653E-4,0.5751720368434574
BPI_Challenge_2012.cd76a7f0-e1d5-4042-bd92-7cc6e89c4757.pnml,1.0062665247830865E-5,4.5847023764040653E-4,0.5751720368434574
BPI_Challenge_2012.3aaa7e17-b984-4cf8-9301-a1d2b46ee1fa.pnml,8.385554373192388E-6,3.820585313670054E-4,0.5751433640362145
BPI_Challenge_2012.daff0008-2f9e-4487-a96a-370fa3a7835a.pnml,8.385554373192388E-6,3.820585313670054E-4,0.5751433640362145
BPI_Challenge_2012.2dd224a2-1c9d-41fc-b77f-fdc8b2d288c6.pnml,1.844821962102325E-5,6.877053564606098E-4,0.5674723361971625
BPI_Challenge_2012.76c87124-025d-4aa6-9154-b84d86f9ec0a.pnml,6.7084434985539105E-6,1.5282341254680218E-4,0.5667507932131288
BPI_Challenge_2012.5477599c-71a1-43ec-9eaf-530c9d37429f.pnml,3.3542217492769552E-6,1.5282341254680218E-4,0.5667240122811524
BPI_Challenge_2012.c8a738c7-a15e-475c-83db-e5f782ce8d0e.pnml,3.3542217492769552E-6,1.5282341254680218E-4,0.5667240122811524
BPI_Challenge_2012.1e813ca7-6dab-419f-bf2b-2a00917fb07c.pnml,3.018799574349259E-5,8.405287690074119E-4,0.5568472612318904
BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,8.385554373192396E-5,0.0019102926568350272,0.5343849151641112
